楼房名称,价格（套/万元）,单价（元/m2）,地址,房间样式,房间规模（m2）,楼层规模
开发区淮安碧桂园 精装四房 带车位 阳台已封好,160,10959,淮安碧桂园 ,4室2厅 ,146, 中楼层
金色华府 精装4房  产证齐全  大润发商圈 紧 邻菜场,85,5863,金色华府 ,4室2厅 ,145, 中楼层
府升小区多层六楼带车库的房子出售,86,8687,府升小区 ,3室2厅 ,99, 高楼层
黄河花园3室 好楼层 采光充足 交通方便 户型好,81,9011,黄河花园十七地块 ,3室2厅 ,89.9, 中楼层
交通便利，周 边购物超市，餐饮娱乐多。,110,8944,东城景苑 ,3室2厅 ,123, 中楼层
书香名苑3室 户型好 采光充足  有车库 交通方便,93,8455,书香名苑 ,3室2厅 ,110, 低楼层
盛世豪庭，房东诚心想卖，看房提前预约,123,10000,盛世豪庭(楚州区) ,3室2厅 ,123, 中楼层
水沐清华多层小区安静舒适值得拥有,73,7679,水沐清华 ,2室2厅 ,95.07, 高楼层
锦绣前城 电梯房  精装3室  卧室朝南  紧靠大润发,88,6875,锦绣前城 ,3室2厅 ,128, 低楼层
锦绣前城   豪 华装修  品牌家具家电   拎包入住,110,7921,锦绣前城 ,3室2厅 ,138.88, 高楼层
人才小区   满五唯一   有车库  有阁楼 可念书,75,5770,涟水县人才小区 ,4室2厅 ,130, 高楼层
精装修三房 中间楼层 采光无遮挡 业主诚心出售,140,14142,金佳园 ,3室2厅 ,99, 中楼层
人才小区  满五唯一  有车库  可念书 业主诚心出售,70,7143,涟水县人才小区 ,3室2厅 ,98, 高楼层
泽惠园 产证齐全无贷款 满五唯一 有车库 业主诚心出售,65,6047,泽惠园小区 ,3室2厅 ,107.5, 中楼层
学府名苑 户型方正 精装修 家具家电齐全交通便利,78,5736,学府茗苑 ,3室2厅 ,136, 高楼层
凯旋国际 3室2厅 74万,74,6738,凯旋国际 ,3室2厅 ,109.83, 中楼层
学士苑  满五唯一   有车库   可念书  业主诚心出售,70,6586,学士苑 ,3室2厅 ,106.3, 高楼层
学士苑  满五唯一 有车库户型通透  周  边设施齐全,65,6443,学士苑 ,3室2厅 ,100.9, 高楼层
此房满两年  底楼层 小三房 随意装修,66,6408,城市花园(涟水县) ,3室2厅 ,103, 低楼层
幸福家园(涟水县) 3室2厅 78万,78,6532,幸福家园(涟水县) ,3室2厅 ,119.42, 低楼层
幸福家园(涟水县) 4室2厅 83万,83,6748,幸福家园(涟水县) ,4室2厅 ,123, 中楼层
房子户型方正，采光好朝南的户型，,230,13262,红豆美墅 ,4室2厅 ,173.43, 5层  
仁和府  邸  精装婚房  基本未住 有阁楼 紧靠五岛湖,59.8,6608,仁和福邸 ,2室2厅 ,90.5, 高楼层
阳光花园2室 有车库 采光充足 交通方便 户型好,62,8498,阳光花园 ,2室2厅 ,72.96, 高楼层
莱茵风情   精装小3室  电梯房    采光无遮挡,58,6481,莱茵风情 ,3室2厅 ,89.5, 低楼层
丰泰东方康桥三房精装，房东急卖。。。。,118,9807,丰泰东方康桥 ,3室2厅 ,120.33, 低楼层
丽晶首府 3室2厅 120万,120,8555,丽晶首府 ,3室2厅 ,140.27, 中楼层
楼层好，采光好，业主诚心出售。,139,14632,金域华府 ,2室2厅 ,95, 中楼层
此房满五唯一  大户型  三面朝阳  全明户型,90,5770,丽景豪庭 ,3室1厅 ,156, 高楼层
急卖 急卖 急卖 急卖 满五  高楼层,56.8,5856,城市花园(涟水县) ,3室1厅 ,97, 中楼层
锦绣山阳 精装三房 电梯好楼层 老证 随时看,98,9608,锦绣山阳 ,3室2厅 ,102, 中楼层
领秀花都   精装修   品质小区  有车库  有安保,83,7493,领秀花都 ,4室2厅 ,110.78, 高楼层
丽景豪庭  成熟小区  精装3室  紧靠五岛公园,67,6381,丽景豪庭 ,3室2厅 ,105, 低楼层
丽景豪庭   紧靠五岛公园   有汽车库   采光无遮挡,69.8,7271,丽景豪庭 ,2室2厅 ,96, 中楼层
郁金蓝湾 低于市场价急卖 精装修 上天津路 转大公园,120,9918,郁金蓝湾 ,3室2厅 ,121, 高楼层
炎黄嘉园  6楼带阁楼  紧靠车站  交通便利,58,6414,炎黄嘉园 ,3室2厅 ,90.44, 高楼层
状元府  满五唯一   税费低  有10几平车库  业主急售,83,6964,状元府 ,3室2厅 ,119.2, 高楼层
大润发商圈 精装修 拎包入住 采光充足 业主急售,81.8,9991,金润城 ,2室2厅 ,81.88, 低楼层
楼层好，采光好，业主 心态好，诚心出售,185,13256,水韵天成银杏苑 ,3室2厅 ,139.56, 中楼层
急售  急售   电梯房  精装修,74,6202,丽景豪庭 ,3室2厅 ,119.32, 高楼层
卢浮公馆洋房 品牌家居 拎包即住,250,17980,卢浮公馆 ,3室2厅 ,139.05, 中楼层
银杏花园  大面积 有车库有阁楼有平台 可念书 靠医院,60,5218,银杏花园 ,2室2厅 ,115, 高楼层
中恒国际b区 精装2 室有阁楼 有车库 业主诚心卖房,52,5930,中恒国际新城B区 ,2室2厅 ,87.7, 高楼层
好房源，精装修房，可以自由装修，配套齐全,160,11679,梧桐苑 ,3室2厅 ,137, 中楼层
万香国际 采光通透户型 有10几平车库 楼层佳 采光好,91,6333,万香国际 ,3室2厅 ,143.7, 中楼层
润通花园  电梯房  两房朝阳  精装修   随时看房,67,5898,润通花园 ,3室2厅 ,113.6, 低楼层
前进小区3室 有车库 位置好 交通方便 配套设施齐全,80,8566,前进小区一区 ,3室2厅 ,93.4, 高楼层
文雅居  位于政法路  紧靠大润发   生活便利,65,5159,文雅居 ,3室2厅 ,126, 高楼层
淮中旁浦东花园位置很好4室2厅2卫,150,9147,浦东花园 ,4室2厅 ,164, 高楼层
大润发商圈 楼层好 位置佳 东边户简装毛坯价,63.9,6145,中央城 ,3室2厅 ,104, 高楼层
东方红府 电梯房精装二室 拧包就住,71,7889,东方红府 ,2室2厅 ,90, 低楼层
东方花园  3室2厅1卫  紧靠装饰城   交通便利,62,5637,东方花园 ,3室2厅 ,110, 高楼层
东方花园  成熟小区  精装3室   有车库,42,6000,东方花园 ,3室2厅 ,70, 高楼层
天山华庭 精致三房 满两年 精装修  户型好通透格局,160,12513,天山华庭 ,3室2厅 ,127.87, 高楼层
莱茵风情 品 质楼盘 高 端社区紧 邻广场 业主诚心出售,85,7658,莱茵风情 ,3室2厅 ,111, 中楼层
中南世纪城，精装修，满两年，小两房，家具家电全留！,89.9,11676,中南世纪城 ,2室2厅 ,77, 高楼层
毛坯3房，户型方正，视野宽阔，采光充足,145,12362,翔宇海棠广场 ,3室2厅 ,117.3, 高楼层
万香国际 精装2室    基本未住 有两个汽车库   加阁楼,68.8,7646,万香国际 ,2室2厅 ,89.99, 高楼层
绿地四期 精装两房 东边户 采光好 拎包入住,145,16047,绿地世纪城四期 ,2室2厅 ,90.36, 高楼层
红豆美墅联排中户 品牌家居 拎包即住,350,17500,红豆美墅 ,5室3厅 ,200, 3层  
房东诚心出售，此房位置好，采光充足,100,8265,欧洲城(清江浦区) ,3室2厅 ,121, 中楼层
小区环境好，交通方便，有房出售，，，,99,7782,依云法国小城 ,3室2厅 ,127.23, 高楼层
满五年  配套齐全  得房率高 楼间距大  采光无限,72.8,5600,圣特小区 ,3室2厅 ,130, 中楼层
恒大一期满五年精装修中间楼层家具家电全留,105,8481,淮安恒大名都 ,3室2厅 ,123.81, 中楼层
淮上人家 简单装修 繁华地段 有车库,83,8784,淮上人家 ,2室2厅 ,94.49, 中楼层
楚州大道  精装修三房  出门小火车  电梯好楼层,118,10565,锦绣山阳 ,3室2厅 ,111.7, 中楼层
水沐清华多层小区房型端正环境优美得房率高,82,8489,水沐清华 ,3室2厅 ,96.6, 低楼层
新天地荣府3室 毛坯房 户型好 楼层好 采光充足,137,9991,新天地荣府 ,3室2厅 ,137.13, 高楼层
毛坯两房户型方正房东急售看房方便有钥匙,68,7728,永业梦乐城 ,2室2厅 ,88, 低楼层
满五年，精装修。小区北门有菜场，交通便利,95,9179,宙辉国际花园 ,2室2厅 ,103.5, 低楼层
房型方正，双南房间，看中价格可议,90,8654,翔宇花园 ,3室2厅 ,104, 高楼层
房东急卖  满两年  底楼层  随意装修,62.8,6321,湖滨花苑 ,3室2厅 ,99.36, 低楼层
"此房满五, 有车位房间朝南, 采光充足视野开阔",75,7685,翔宇花园 ,4室2厅 ,97.6, 高楼层
都市花园 中间楼层 精装三房 全明户型 拎包即住,90,6894,都市花园D区 ,3室2厅 ,130.56, 高楼层
圣特小区  成熟小区   大3室   多层得房率高,64.8,5758,圣特小区 ,3室2厅 ,112.55, 中楼层
金地国际花园 3室2厅 92.8万,92.8,8249,金地国际花园 ,3室2厅 ,112.5, 低楼层
濠城状元府 精装两房 好位置  老证随时看,82.8,9410,濠城状元府 ,2室2厅 ,88, 中楼层
东城一品 3室2厅 99万,99,7467,东城一品 ,3室2厅 ,132.6, 低楼层
润通花园 多层中装温馨二室 紧红日主题广场 有车库,58,6253,润通花园 ,2室2厅 ,92.76, 中楼层
幸福城 3室2厅 126万,126,11053,幸福城 ,3室2厅 ,114, 中楼层
此房满五唯一  有车库 有阁楼  品质小区,57.8,6149,状元府 ,3室2厅 ,94, 高楼层
文苑小区 3室2厅 228万,228,17582,文苑小区 ,3室2厅 ,129.68, 高楼层
康城明珠 采光充足 无遮挡 视野开阔,135,10976,康城明珠北区 ,3室2厅 ,123, 高楼层
福晟钱隆城四房，前排无遮挡，在家就能看体育馆,100,7948,福晟钱隆城 ,4室2厅 ,125.83, 高楼层
兰亭绿城两室毛坯一楼养老房............,60,6897,兰亭绿城 ,2室2厅 ,87, 低楼层
绿洲花苑 3室2厅 78万,78,7124,绿洲花苑 ,3室2厅 ,109.5, 低楼层
府前御景园 精装四室带大平台 地段繁华,98,6902,府前御景园 ,4室2厅 ,142, 低楼层
水岸名宅6楼带外置阁楼 采光充足 无遮挡,105,10505,水岸名宅 ,3室2厅 ,99.96, 高楼层
锦阳花园2室 精装修 有车库 采光充足 交通便利,50,7724,锦阳花园 ,2室2厅 ,64.74, 高楼层
采光好，套型好，没有浪费面积，公摊面积少。,94,7938,豪景华庭 ,3室2厅 ,118.43, 中楼层
黄河花园十六地块   采光充足 无遮挡,110,7682,黄河花园十六地块 ,3室2厅 ,143.2, 高楼层
银河湾花园采光充足 无遮挡 视野宽阔,129.8,9141,银河湾花园 ,3室2厅 ,142, 中楼层
房子满两年，采光好，公摊小，自住，看房提前联系,120,16439,东大商汇 ,2室2厅 ,73, 高楼层
钱隆御景中间楼层双阳台毛坯三房,85,7328,力天健康城 ,3室2厅 ,116, 中楼层
此房户型方正，中间户，满两年，看房方便,78.8,9203,中南世纪城 ,2室2厅 ,85.63, 低楼层
中南世纪城，大三房，典型边户，带有八角阳台！,126,10371,中南世纪城 ,3室2厅 ,121.5, 中楼层
底楼层  房东急卖  环境优美 设施齐全 满五,69,6572,金轮世家 ,3室2厅 ,105, 低楼层
万香国际 三室两厅 满五唯 一 有大小车库,76,7600,万香国际 ,3室2厅 ,100, 高楼层
如意里 精装3房老证税少 拎包入住,112,8801,如意里 ,3室2厅 ,127.26, 中楼层
房子满五年了老证，精装修 ，看房方便，有车库！,95.8,7624,丰泰东方康桥 ,3室2厅 ,125.66, 中楼层
阳光嘉园   精装3室   飞机户型  交通便利,75,6059,阳光嘉园 ,3室2厅 ,123.8, 高楼层
此房户型好，采光无遮挡，楼间距大,95,8134,力天健康城 ,3室2厅 ,116.8, 高楼层
满两年 采光刺眼  全新装修  户型方正,118,8677,月季花园 ,3室2厅 ,136, 低楼层
网红桥下精装大三房，淮海路沿线，中间楼层户型好,120,9571,四季金辉 ,3室2厅 ,125.39, 高楼层
豪景华庭采光好视野开阔交通方便,87,8140,豪景华庭 ,3室2厅 ,106.89, 中楼层
大河新城多层5楼三室两厅两卫精装 带车库,88,7334,大河新城 ,3室2厅 ,120, 高楼层
清隆家园南区，精装修三室，采光好,76,7064,清隆家园南区 ,3室2厅 ,107.6, 中楼层
淮海购物广场精装修三室.中间楼层，采光好,131,10075,淮海购物广场小区 ,3室2厅 ,130.03, 中楼层
两房朝南 精致三室 满五不唯一 交通方便 诚买价好谈,43,5120,老县医院宿舍楼 ,3室2厅 ,84, 中楼层
金地尚城  毛坯2室   任意装修  给您足够的装修空间,63,6179,金地·尚城 ,2室2厅 ,101.96, 中楼层
中恒国际  三室两厅  精装修   产证齐全  满五,75,6356,中恒国际新城B区 ,3室2厅 ,118, 低楼层
承德公馆采光好视野开阔交通方便,110,9357,英祥承德公馆 ,3室2厅 ,117.56, 高楼层
楼层好，采光好，业主诚意出售。,102,10493,中信山水名邸 ,2室2厅 ,97.21, 高楼层
巴黎春天 复式楼  毛坯房  证件齐全   紧靠车站,74,4424,巴黎春天小区 ,5室2厅 ,167.28, 高楼层
北京路八号采光好视野开阔交通方便,61.8,7607,长江东路8号 ,3室2厅 ,81.25, 高楼层
精装修大三室 家具家电全留 业主诚心出售,105,8334,力天健康城 ,3室2厅 ,126, 中楼层
怡丰院 拎包即住 得房率高 户型好采光好 急售,89.8,7422,怡丰苑 ,3室2厅 ,121, 高楼层
此房满5年，中等装修，多层一楼有院子，车位,67,9572,苏减小区 ,2室2厅 ,70, 低楼层
大润发商圈 出门主题公园 西边户 湖景房 有电瓶车库,86,7167,府前御景园 ,3室2厅 ,120, 中楼层
大润发旁多层2楼 3房91平方78万 精装修视野开阔,78,8572,营东商住楼 ,3室2厅 ,91, 低楼层
水沐清华多层小区户型端正，空气清爽，交通便利,80,8398,水沐清华 ,3室2厅 ,95.27, 高楼层
阳光广场老证，看房方便，房东急卖。。。,78,7723,阳光广场 ,3室2厅 ,101, 高楼层
中天华庭小区 南北户型 精装拎包入住,86,10618,中天华庭一期 ,2室2厅 ,81, 低楼层
丽正花苑 3室2厅 92万,92,8599,丽正花苑 ,3室2厅 ,107, 中楼层
翡翠城 精装3房 满五唯一 拎包入住,96.8,8881,翡翠城花园 ,3室2厅 ,109, 高楼层
此房满五，两室朝南方正小户型，适合小家庭居住,58,9481,公园北路51号 ,2室1厅 ,61.18, 高楼层
东壹区2室 市中 心位置 交通便利 采光充足 户型好,150,26042,东壹区小区 ,2室1厅 ,57.6, 中楼层
盛祥苑3室 精装修 采光充足 大润发商圈 交通便利,92,8680,盛祥苑 ,3室2厅 ,106, 中楼层
华德力运河城精装房 南北通透 楼层适中 采光好,90,9575,华德力运河城 ,3室2厅 ,94, 中楼层
业主急售 满五唯一  电梯房精装修,68,6916,万香国际 ,2室2厅 ,98.33, 低楼层
丽景豪庭  3室   有阁楼   有车库  采光刺眼,65,5751,丽景豪庭 ,3室2厅 ,113.03, 高楼层
融侨华府 绿化好 交通便利 包含位置不错的车,136,9511,融侨·华府 ,3室2厅 ,143, 高楼层
人才小区，楼层佳，采光刺眼，有汽车库，满五唯一,85,6344,涟水县人才小区 ,4室2厅 ,134, 中楼层
盛世豪庭精装修，顶楼带阁楼  ，房主诚意出售。,130,11017,盛世豪庭(楚州区) ,3室2厅 ,118, 高楼层
位置好，户型方正，采光环境好，视野开阔,115,9275,中南世纪城 ,3室2厅 ,124, 中楼层
兰亭绿城 精装修 三室两厅 满2年 采光好,95,8120,兰亭绿城 ,3室2厅 ,117, 高楼层
中熙凤凰城   有车库23平米   精装修  设施齐全,99,10761,中熙凤凰城 ,3室2厅 ,92, 低楼层
中南世纪城，大三房，环境好，看房方便,148,10648,中南世纪城 ,3室2厅 ,139, 低楼层
加州城b区 3室2厅 112万,112,10276,加州城b区 ,3室2厅 ,109, 中楼层
淮海西路 金鼎御庭多层5楼精装三室两厅两卫 有车库,133,10192,金鼎御庭 ,3室2厅 ,130.5, 高楼层
北京如意国际花园电梯房精装修房子出售,108.8,8992,北京如意国际花园 ,3室2厅 ,121, 低楼层
此房户型好，客厅朝南，一房朝南，两房朝北,119,10721,茂华国际汇南区 ,3室2厅 ,111, 低楼层
前进小区一区3室 好楼层 采光充足 交通方便 位置好,92,9104,前进小区一区 ,3室2厅 ,101.06, 中楼层
此房满两年，楼层好，视野开阔，户型方正。,105,8292,天润和府 ,3室2厅 ,126.63, 中楼层
一院宿舍3室 位置好 交通便利 采光充足 总价低,68.8,8030,淮阴市第一人民医院宿舍区 ,3室1厅 ,85.68, 高楼层
此房满五不唯一，看房方便价格能谈东边户，拎包即住,112,10770,利苑新村一区 ,3室2厅 ,104, 中楼层
四季金辉二期毛坯3房楼层好采光刺眼业主诚心卖,96.9,8500,四季金辉观岚 ,3室2厅 ,114, 低楼层
天一名都 精装3房 旁边就是高架 出入方便,93,9030,天一名都 ,3室2厅 ,103, 低楼层
四季金辉二期楼层好采光刺眼业主诚心卖,86,8821,四季金辉观岚 ,3室2厅 ,97.5, 高楼层
旺角旁精装2房满两年采光刺眼房东急卖价格好谈,68,7473,东城新锐园 ,2室2厅 ,91, 中楼层
中南二期三房改两房，精装修，高品质,120,12000,中南世纪城 ,2室1厅 ,100, 低楼层
叶语世家两室精装 设施齐全拎包入住,69,9120,叶语世家 ,2室1厅 ,75.66, 低楼层
华谊星河精装修两房，满五唯一，房主诚意出售。,88,8894,華誼星河 ,2室2厅 ,98.95, 低楼层
锦阳花园3室 有车库 户型好 采光充足 交通方便,75,7868,锦阳花园 ,3室2厅 ,95.33, 低楼层
老证 电梯高层 规整三房 九成新家电家具 拎包即住,120,10000,億源国际花园 ,3室2厅 ,120, 高楼层
小吃街边上的大三房  居住舒适的 新维美地 随时看房,89,8399,新维中央美地 ,3室1厅 ,105.97, 低楼层
东方家园2室 有车库 楼层好 采光充足 交通便利,75,8929,東方家園 ,2室2厅 ,84, 中楼层
大润发商圈 帝景豪庭3室 精装修 家电全留 交通便利,100,9901,世邦帝景豪庭 ,3室1厅 ,101, 高楼层
交通便利，购物超市，餐饮娱乐多，幼儿园早教班都有,110,8800,淮安恒大名都 ,3室2厅 ,125, 低楼层
瑞林国际广场3室 精装修 税点低 位置好 交通便利,125,11905,瑞林国际广场 ,3室2厅 ,105, 中楼层
此房满两年了，采光不错，户型方正,160,13267,绿地世纪城五期 ,3室2厅 ,120.6, 中楼层
烟草公司宿舍3楼精装三室一厅清中采光好户型好,136.8,16914,烟草公司宿舍 ,3室1厅 ,80.88, 中楼层
多层的中等楼层，精装修，诚心出售，价格可谈。,125,14061,乐园步行街 ,2室2厅 ,88.9, 中楼层
中交精装修两房，楼层好，采光好,99,11013,中交香槟国际 ,2室2厅 ,89.9, 高楼层
绿地二期南苑 业之峰装修 北欧风格 通透三房,192,16108,绿地世纪城国际花都南苑 ,3室2厅 ,119.2, 中楼层
户型方正 精致装修 满两年 采光通透,165,17935,梧桐公馆 ,3室2厅 ,92, 高楼层
永和家园北京路三室两厅一卫精装设施齐全拎包入住,89,8421,永和家园 ,3室2厅 ,105.7, 中楼层
锦阳花园两室 有车库 采光充足 交通便利 低总价,58,7946,锦阳花园 ,2室2厅 ,73, 中楼层
恒大名都一期 满五唯一 挑高一楼,140,10867,淮安恒大名都 ,4室2厅 ,128.84, 低楼层
楼层好，视野好，房屋格局无变动，三室两厅,87,8901,四季金辉观岚 ,3室2厅 ,97.75, 高楼层
毛坯四房，中间楼层，看房方便，价格好谈,126,9000,中南世纪城一期 ,4室2厅 ,140, 中楼层
绿地世纪城三房，交通便利，环境优美,150,15546,绿地世纪城四期 ,3室2厅 ,96.49, 高楼层
城置公园龙湾 3室2厅 108万,108,9037,城置公园龙湾 ,3室2厅 ,119.51, 高楼层
润园 4室2厅 112万,112,7512,润园 ,4室2厅 ,149.1, 中楼层
业主急售，精装修两房，户型方正。,80,10127,福晟钱隆城 ,2室2厅 ,79, 低楼层
此房满两年 ，楼层好视野宽阔，采光充足配套设施齐,112,10468,叶语世家 ,3室2厅 ,107, 高楼层
万达商圈 锦绣江南 满五唯一 电梯中层精装大三房,108.8,9094,锦绣江南花园 ,3室2厅 ,119.64, 中楼层
丰泰东方康桥 3室2厅 96万,96,7620,丰泰东方康桥 ,3室2厅 ,126, 高楼层
天和豪庭 盐河风光带旁 精装修2房 诚意出售,80,8584,天和豪庭 ,2室2厅 ,93.2, 高楼层
益兴名人 洋房纯毛坯三房 前排别墅不遮阳 采光通风好,120,9466,益兴名人湾 ,3室2厅 ,126.78, 中楼层
金华尚东国际 深圳路主干道 翔宇大道旁 大润发在旁,88,8544,金华尚东国际 ,2室2厅 ,103, 低楼层
长江东路海通花园3楼装修两房自住诚心置换随时看房,73,8094,海通花园 ,2室2厅 ,90.2, 低楼层
红豆公园里联排别墅，带院子，交通便利，环境优美,438,19044,红豆美墅公园里 ,6室2厅 ,230, 4层  
皇冠国际 采光刺眼  房东诚心出售,80.8,8633,皇冠国际 ,2室2厅 ,93.6, 高楼层
德汇公馆 复式 三房朝阳 客厅朝阳,115,9552,德汇公馆 ,3室2厅 ,120.4, 低楼层
老证税少 商品房户型可以  低总价万达附 近,71,7396,丰泰东方康桥 ,2室2厅 ,96, 高楼层
稀有的多层中熙凤凰城新房毛坯房,83,7655,中熙凤凰城 ,3室2厅 ,108.44, 高楼层
楼层好 视野宽阔 采光充足 配套设施齐 交通便利,136,10462,翔宇海棠广场 ,3室2厅 ,130, 低楼层
此房满两年，小区位置好。户型功能性强。总价低。,76,9269,利苑新村一区 ,3室2厅 ,82, 中楼层
稀有的多层火车站对 面台州商城,80,6505,台州商城 ,3室2厅 ,123, 高楼层
满五唯一 没有住过  湖景房 采光好,120,8696,淮安恒大名都 ,3室2厅 ,138, 低楼层
梁红玉路边海棠广场，好楼层，采光无遮挡,77.5,7362,海棠广场A区 ,3室2厅 ,105.28, 高楼层
此房源，好地段，好户型，居住不二选择！,79,8405,上海新城 ,2室2厅 ,94, 高楼层
黄河花园三室二厅业主诚心出售希望遇到有缘的你,85.8,8770,黄河花园十七地块 ,3室2厅 ,97.84, 高楼层
南京路旁边福地清华苑精装修拎包入住,63,7079,福地清华苑 ,2室2厅 ,89, 中楼层
上海康城  房东在售  有钥匙看房方便,128,9553,上海康城 ,3室2厅 ,134, 低楼层
御景城南区 2室1厅 82万,82,9899,御景城南区 ,2室1厅 ,82.84, 高楼层
简装两房满两房户型方正带车库看房方便业主诚心卖,80,7477,运河城逸翠园 ,3室2厅 ,107, 中楼层
珠海路小区总高四楼的三房，价格可谈！,85,8174,珠海路小区 ,3室2厅 ,104, 高楼层
南浦佳园商品房高层带电梯，环境优雅，合适老少人群,82.8,6000,南浦佳园 ,3室2厅 ,138, 低楼层
清城美墅 房东在售有钥匙看房方便,94,7414,清城美墅 ,3室2厅 ,126.8, 高楼层
翔宇大道旁品质小区！交通便捷，户型方正！,116,8530,中南世纪锦城 ,3室2厅 ,136, 低楼层
南边就是清浦开明 中楼层采光好 美食城旁 环境好,90,8182,水沐清华 ,3室2厅 ,110, 中楼层
"旺旺家缘,出门就是白鹭湖 钵池山",90,7087,旺旺家缘 ,3室2厅 ,127, 高楼层
黄河花园6楼带阁楼 两室朝阳  采光充足视野宽阔,86.8,8189,黄河花园十七地块 ,3室2厅 ,106, 高楼层
丽正花苑 毛坯三房 随时看 有露台,106,7682,丽正花苑 ,3室2厅 ,138, 低楼层
绿地世纪城毛坯大三房，全天采光，户型方正，随时看房,156,13000,绿地世纪城五期 ,3室2厅 ,120, 高楼层
月季花园 3室2厅 78万,78,7242,月季花园 ,3室2厅 ,107.71, 低楼层
深圳路 凤凰瑞园 电梯花园洋房 三房,92,8289,凤凰瑞园 ,3室2厅 ,111, 高楼层
茂华首排19楼阳光视野精装大3房诚心出售家电家具全留,178,12448,茂华国际汇南区 ,3室2厅 ,143, 高楼层
利苑新村，二区，南北通风性好，户型正,65,8355,利苑新村二区 ,3室1厅 ,77.8, 高楼层
水渡口大道 东方丽景三室5楼边户看房子方便！~,87.8,8287,洪福小区 ,3室2厅 ,105.95, 高楼层
南北通格局，采光充足，配套设施齐 交通便利,66.6,6254,清新花苑北区 ,2室2厅 ,106.5, 高楼层
亿力未来城五期毛坯三房 楼层好 采光佳,149.8,10856,亿力未来城五期 ,3室2厅 ,138, 中楼层
城开御园高层 2室 93平方75万 毛坯房 采光好,75.8,8151,城开御园二期 ,2室2厅 ,93, 高楼层
房子户型方正通透性好，采光无遮挡，布局合理。,145,13680,淮海第一城 ,3室2厅 ,106, 中楼层
康桥公馆小高层带电梯 毛坯房 看房 方便,60,6039,康桥公馆 ,2室2厅 ,99.36, 中楼层
绿地世纪城毛坯大三房，交通便利，环境优美，配套齐全,195,14339,绿地世纪城国际花都南苑 ,3室2厅 ,136, 高楼层
中天翡丽湾老证电梯好楼层 全天采光无遮挡,120,9904,中天翡丽湾 ,4室2厅 ,121.17, 高楼层
爱琴海花园，多层一楼带100平米的大院子的房子！,185,12759,爱琴海花园 ,3室2厅 ,145, 低楼层
华德力运河城 品质小区 交通便利,105,8334,华德力运河城 ,3室2厅 ,126, 低楼层
毛坯大3房 任意装修  户型方正  全天采光,60,6270,南浦佳园 ,3室2厅 ,95.7, 中楼层
交通便利，小区环境优美，设施完善，全新装修拎包入住,95,10150,爱琴海花园 ,2室2厅 ,93.6, 中楼层
开发区汕头路上成业花园97平3室2厅中等装修拎包入住,60,6186,成业花园 ,3室2厅 ,97, 高楼层
开发区汕头路上钵池小区多层毛坯,59,7444,钵池小区 ,2室2厅 ,79.26, 中楼层
"：
南北通格局好，配套设施齐全，交通便利",75,8494,丰泰东方康桥 ,2室2厅 ,88.3, 高楼层
开发区东湖翠景苑精装修拎包入住随时可看房,80,6558,东湖翠景苑 ,3室2厅 ,122, 高楼层
淮海中 学宿舍 满五年唯一 交通便利 配套齐全,82,8972,淮海中学宿舍 ,3室1厅 ,91.4, 中楼层
御景城陪读房精装修，房主诚意出售,108,8421,御景城 ,3室2厅 ,128.26, 高楼层
力天健康城，好楼层，小户型，好房子,70,7606,力天健康城 ,2室2厅 ,92.04, 中楼层
樱花小区 全明户型 满五唯一 21平米车库,90,9783,樱花小区 ,2室2厅 ,92, 低楼层
亿丰时代广场 3室2厅 100万,100,8253,亿丰时代广场 ,3室2厅 ,121.18, 低楼层
海棠广场 毛坯三房 东边户 房东诚售,142,11094,翔宇海棠广场 ,3室2厅 ,128, 中楼层
开发区东湖翠景苑3室2厅2卫毛坯随时可看房,87,6542,东湖翠景苑 ,3室2厅 ,133, 中楼层
业主诚心卖房 有钥匙 可以随时看毛坯房任意装修,89,8241,建滔裕花园 ,3室2厅 ,108, 高楼层
永福华府3室毛坯 采光充足 户型好 3个阳台 有车库,69.8,6199,永福华府 ,3室2厅 ,112.6, 中楼层
惠民家园一期 2室1厅 38万,38,4319,惠民家园一期 ,2室1厅 ,88, 中楼层
云梦二期三居室  市政供暖  户型方正 采光甚好,95,9135,云梦清河 ,3室2厅 ,104, 低楼层
绿地四期 精装3房 户型好 拎包入住,156,13449,绿地世纪城四期 ,3室2厅 ,116, 低楼层
兴安华庭 户型方正 采光好 位置好 随时看房,175,12211,兴安华庭 ,4室2厅 ,143.32, 中楼层
中交香槟国际，户型方正，客厅和主卧朝南，满两年,75,8344,中交香槟国际 ,2室2厅 ,89.89, 低楼层
此房为三房毛坯，可任意装修，楼层好，视野宽阔,78.8,8989,文锦城锦苑 ,2室2厅 ,87.67, 中楼层
天生赢家 小高层 三开间朝南 毛坯 满二年,52,6047,天生赢家 ,2室2厅 ,86, 中楼层
东方康桥  采光无遮挡  好楼层,78,8667,丰泰东方康桥 ,2室2厅 ,90, 低楼层
交通便利，周 边购物超市，餐饮娱乐多。,72,9600,万达公寓 ,2室1厅 ,75, 中楼层
天生赢家2室 精装修 低总价 税点低 户型好 采光充足,63,7412,天生赢家 ,2室2厅 ,85, 中楼层
丹桂苑2室 低总价 户型好 采光充足 交通便利,62,9154,丹桂苑 ,2室1厅 ,67.73, 高楼层
维多莉雅花苑 毛坯两房 多层带阁楼 价格美丽,81,6171,维多莉雅花苑 ,2室2厅 ,131.26, 高楼层
